session_timestamp_ms,phase,airflow_raw,timestamp_ms
0,relax,13,0
51,relax,10,51
101,relax,10,101
153,relax,7,153
203,relax,7,203
253,relax,5,253
304,relax,5,304
354,relax,2,354
404,relax,1,404
456,relax,1,456
506,relax,2,506
557,relax,2,557
607,relax,1,607
657,relax,1,657
709,relax,1,709
759,relax,0,759
809,relax,2,809
860,relax,7,860
910,relax,0,910
961,relax,0,961
1012,relax,1,1012
1062,relax,1,1062
1113,relax,1,1113
1163,relax,0,1163
1214,relax,0,1214
1265,relax,0,1265
1315,relax,0,1315
1366,relax,0,1366
1416,relax,0,1416
1467,relax,0,1467
1517,relax,0,1517
1568,relax,0,1568
1619,relax,4,1619
1669,relax,1,1669
1720,relax,1,1720
1770,relax,2,1770
1822,relax,25,1822
1872,relax,57,1872
1922,relax,84,1922
1973,relax,108,1973
2023,relax,127,2023
2075,relax,143,2075
2126,relax,159,2126
2176,relax,169,2176
2227,relax,180,2227
2277,relax,192,2277
2329,relax,198,2329
2379,relax,203,2379
2430,relax,201,2430
2480,relax,203,2480
2531,relax,197,2531
2581,relax,193,2581
2633,relax,185,2633
2683,relax,177,2683
2734,relax,166,2734
2784,relax,157,2784
2835,relax,148,2835
2886,relax,138,2886
2937,relax,131,2937
2987,relax,124,2987
3038,relax,116,3038
3088,relax,105,3088
3140,relax,103,3140
3190,relax,96,3190
3241,relax,94,3241
3291,relax,91,3291
3342,relax,96,3342
3392,relax,87,3392
3444,relax,87,3444
3494,relax,82,3494
3545,relax,77,3545
3595,relax,74,3595
3646,relax,62,3646
3697,relax,57,3697
3748,relax,50,3748
3798,relax,43,3798
3849,relax,32,3849
3899,relax,18,3899
3949,relax,4,3949
4001,relax,1,4001
4051,relax,1,4051
4102,relax,0,4102
4152,relax,0,4152
4203,relax,0,4203
4254,relax,1,4254
4304,relax,0,4304
4355,relax,0,4355
4405,relax,0,4405
4456,relax,0,4456
4507,relax,0,4507
4557,relax,0,4557
4608,relax,1,4608
4658,relax,0,4658
4709,relax,0,4709
4759,relax,0,4759
4810,relax,0,4810
4861,relax,2,4861
4911,relax,0,4911
4962,relax,0,4962
5012,relax,2,5012
5064,relax,0,5064
5114,relax,0,5114
5164,relax,0,5164
5215,relax,0,5215
5265,relax,0,5265
5317,relax,0,5317
5367,relax,0,5367
5417,relax,0,5417
5468,relax,0,5468
5518,relax,0,5518
5569,relax,0,5569
5620,relax,0,5620
5670,relax,0,5670
5721,relax,1,5721
5771,relax,1,5771
5822,relax,1,5822
5873,relax,1,5873
5924,relax,4,5924
5974,relax,2,5974
6024,relax,2,6024
6075,relax,2,6075
6125,relax,2,6125
6177,relax,3,6177
6227,relax,6,6227
6278,relax,10,6278
6328,relax,10,6328
6378,relax,13,6378
6430,relax,11,6430
6480,relax,17,6480
6531,relax,17,6531
6581,relax,20,6581
6632,relax,21,6632
6683,relax,23,6683
6734,relax,23,6734
6784,relax,23,6784
6835,relax,32,6835
6885,relax,19,6885
6937,relax,18,6937
6987,relax,17,6987
7038,relax,8,7038
7088,relax,3,7088
7138,relax,2,7138
7189,relax,10,7189
7240,relax,1,7240
7291,relax,1,7291
7341,relax,2,7341
7392,relax,1,7392
7442,relax,1,7442
7493,relax,2,7493
7544,relax,0,7544
7594,relax,0,7594
7645,relax,0,7645
7695,relax,0,7695
7746,relax,0,7746
7797,relax,0,7797
7847,relax,0,7847
7898,relax,0,7898
7948,relax,0,7948
7999,relax,1,7999
8050,relax,0,8050
8100,relax,0,8100
8151,relax,0,8151
8201,relax,0,8201
8252,relax,0,8252
8303,relax,3,8303
8353,relax,0,8353
8404,relax,0,8404
8454,relax,2,8454
8505,relax,0,8505
8555,relax,0,8555
8607,relax,0,8607
8657,relax,0,8657
8707,relax,0,8707
8758,relax,0,8758
8808,relax,2,8808
8860,relax,1,8860
8910,relax,1,8910
8960,relax,6,8960
9011,relax,2,9011
9061,relax,3,9061
9113,relax,8,9113
9163,relax,13,9163
9214,relax,15,9214
9264,relax,15,9264
9315,relax,21,9315
9365,relax,24,9365
9416,relax,26,9416
9467,relax,27,9467
9517,relax,30,9517
9568,relax,27,9568
9618,relax,31,9618
9670,relax,33,9670
9720,relax,36,9720
9771,relax,36,9771
9821,relax,37,9821
9872,relax,38,9872
9922,relax,37,9922
9974,relax,40,9974
10024,relax,43,10024
10075,relax,42,10075
10125,relax,41,10125
10176,relax,42,10176
10227,relax,42,10227
10278,relax,42,10278
10328,relax,43,10328
10379,relax,44,10379
10429,relax,39,10429
10481,relax,43,10481
10531,relax,47,10531
10582,relax,43,10582
10632,relax,41,10632
10683,relax,41,10683
10733,relax,42,10733
10785,relax,41,10785
10835,relax,40,10835
10886,relax,37,10886
10936,relax,40,10936
10987,relax,37,10987
11038,relax,41,11038
11089,relax,32,11089
11139,relax,31,11139
11190,relax,24,11190
11241,relax,20,11241
11292,relax,16,11292
11343,relax,11,11343
11393,relax,6,11393
11444,relax,1,11444
11494,relax,2,11494
11545,relax,2,11545
11596,relax,1,11596
11646,relax,2,11646
11697,relax,4,11697
11747,relax,1,11747
11798,relax,1,11798
11849,relax,1,11849
11900,relax,2,11900
11950,relax,0,11950
12001,relax,0,12001
12051,relax,9,12051
12103,relax,0,12103
12153,relax,0,12153
12203,relax,0,12203
12254,relax,0,12254
12304,relax,0,12304
12356,relax,5,12356
12406,relax,0,12406
12457,relax,0,12457
12507,relax,0,12507
12558,relax,0,12558
12608,relax,0,12608
12659,relax,0,12659
12710,relax,0,12710
12760,relax,0,12760
12811,relax,0,12811
12861,relax,0,12861
12913,relax,0,12913
12963,relax,1,12963
13014,relax,0,13014
13064,relax,1,13064
13115,relax,0,13115
13165,relax,1,13165
13216,relax,0,13216
13267,relax,0,13267
13317,relax,1,13317
13368,relax,1,13368
13418,relax,8,13418
13470,relax,1,13470
13520,relax,1,13520
13571,relax,1,13571
13621,relax,1,13621
13672,relax,2,13672
13723,relax,2,13723
13774,relax,3,13774
13824,relax,4,13824
13874,relax,9,13874
13925,relax,10,13925
13975,relax,14,13975
14027,relax,16,14027
14077,relax,18,14077
14128,relax,20,14128
14179,relax,22,14179
14229,relax,24,14229
14281,relax,27,14281
14331,relax,29,14331
14382,relax,29,14382
14432,relax,32,14432
14483,relax,35,14483
14534,relax,41,14534
14585,relax,36,14585
14635,relax,45,14635
14686,relax,39,14686
14736,relax,41,14736
14788,relax,39,14788
14838,relax,43,14838
14889,relax,44,14889
14939,relax,44,14939
14990,relax,45,14990
15040,relax,46,15040
15092,relax,47,15092
15142,relax,47,15142
15193,relax,47,15193
15243,relax,51,15243
15294,relax,49,15294
15345,relax,48,15345
15396,relax,50,15396
15446,relax,48,15446
15497,relax,49,15497
15547,relax,52,15547
15599,relax,52,15599
15649,relax,54,15649
15700,relax,55,15700
15751,relax,60,15751
15801,relax,67,15801
15852,relax,78,15852
15903,relax,74,15903
15954,relax,69,15954
16004,relax,64,16004
16055,relax,41,16055
16105,relax,25,16105
16157,relax,13,16157
16207,relax,2,16207
16258,relax,1,16258
16308,relax,1,16308
16359,relax,1,16359
16410,relax,0,16410
16460,relax,0,16460
16511,relax,0,16511
16561,relax,7,16561
16612,relax,0,16612
16662,relax,0,16662
16714,relax,0,16714
16764,relax,0,16764
16815,relax,0,16815
16865,relax,0,16865
16916,relax,0,16916
16967,relax,0,16967
17017,relax,0,17017
17068,relax,0,17068
17118,relax,0,17118
17169,relax,0,17169
17220,relax,0,17220
17271,relax,0,17271
17321,relax,4,17321
17372,relax,0,17372
17422,relax,1,17422
17472,relax,2,17472
17524,relax,11,17524
17574,relax,28,17574
17625,relax,40,17625
17676,relax,53,17676
17726,relax,63,17726
17778,relax,71,17778
17828,relax,80,17828
17879,relax,91,17879
17929,relax,92,17929
17980,relax,95,17980
18031,relax,102,18031
18082,relax,106,18082
18132,relax,109,18132
18183,relax,108,18183
18233,relax,111,18233
18284,relax,111,18284
18336,relax,112,18336
18386,relax,111,18386
18437,relax,114,18437
18487,relax,111,18487
18538,relax,111,18538
18589,relax,108,18589
18640,relax,107,18640
18690,relax,105,18690
18741,relax,103,18741
18792,relax,99,18792
18843,relax,95,18843
18894,relax,92,18894
18944,relax,87,18944
18995,relax,87,18995
19045,relax,83,19045
19097,relax,81,19097
19147,relax,78,19147
19198,relax,76,19198
19248,relax,72,19248
19299,relax,67,19299
19349,relax,65,19349
19401,relax,62,19401
19451,relax,60,19451
19502,relax,55,19502
19552,relax,55,19552
19603,relax,51,19603
19654,relax,51,19654
19705,relax,49,19705
19755,relax,46,19755
19806,relax,44,19806
19856,relax,43,19856
19908,relax,42,19908
19958,relax,39,19958
20009,relax,35,20009
20059,relax,31,20059
20110,relax,27,20110
20161,relax,20,20161
20212,relax,13,20212
20263,relax,4,20263
20313,relax,2,20313
20363,relax,0,20363
20414,relax,0,20414
20465,relax,0,20465
20516,relax,0,20516
20566,relax,0,20566
20617,relax,0,20617
20667,relax,0,20667
20719,relax,0,20719
20769,relax,0,20769
20820,relax,0,20820
20870,relax,0,20870
20920,relax,0,20920
20971,relax,0,20971
21022,relax,0,21022
21073,relax,0,21073
21123,relax,0,21123
21174,relax,0,21174
21224,relax,0,21224
21276,relax,0,21276
21326,relax,0,21326
21376,relax,0,21376
21427,relax,0,21427
21477,relax,0,21477
21529,relax,0,21529
21579,relax,0,21579
21630,relax,0,21630
21680,relax,0,21680
21731,relax,0,21731
21781,relax,0,21781
21833,relax,0,21833
21883,relax,5,21883
21933,relax,0,21933
21984,relax,0,21984
22034,relax,0,22034
22086,relax,1,22086
22136,relax,1,22136
22187,relax,2,22187
22237,relax,9,22237
22288,relax,22,22288
22338,relax,41,22338
22390,relax,41,22390
22440,relax,46,22440
22491,relax,53,22491
22541,relax,58,22541
22592,relax,66,22592
22643,relax,71,22643
22694,relax,75,22694
22744,relax,79,22744
22795,relax,82,22795
22845,relax,83,22845
22897,relax,85,22897
22947,relax,85,22947
22998,relax,84,22998
23048,relax,83,23048
23099,relax,81,23099
23149,relax,80,23149
23201,relax,77,23201
23251,relax,77,23251
23302,relax,75,23302
23352,relax,75,23352
23403,relax,72,23403
23455,relax,73,23455
23505,relax,71,23505
23556,relax,75,23556
23606,relax,69,23606
23657,relax,70,23657
23708,relax,69,23708
23759,relax,68,23759
23809,relax,67,23809
23860,relax,63,23860
23910,relax,64,23910
23962,relax,61,23962
24012,relax,61,24012
24063,relax,59,24063
24113,relax,57,24113
24164,relax,56,24164
24214,relax,55,24214
