session_timestamp_ms,phase,gsr,timestamp_ms
0,relax,1.44,0
202,relax,1.44,202
404,relax,1.44,404
607,relax,1.24,607
809,relax,1.24,809
1012,relax,1.24,1012
1215,relax,1.44,1215
1418,relax,1.24,1418
1620,relax,1.44,1620
1823,relax,1.44,1823
2026,relax,1.44,2026
2229,relax,1.24,2229
2432,relax,1.24,2432
2634,relax,1.24,2634
2837,relax,1.34,2837
3040,relax,1.53,3040
3243,relax,1.53,3243
3445,relax,1.44,3445
3648,relax,1.44,3648
3851,relax,1.44,3851
4054,relax,1.34,4054
4256,relax,1.63,4256
4459,relax,1.63,4459
4662,relax,1.53,4662
4865,relax,1.53,4865
5067,relax,1.53,5067
5270,relax,1.34,5270
5473,relax,1.24,5473
5675,relax,1.24,5675
5877,relax,1.34,5877
6080,relax,1.44,6080
6283,relax,2.22,6283
6486,relax,1.53,6486
6688,relax,1.53,6688
6891,relax,1.24,6891
7094,relax,1.44,7094
7297,relax,1.44,7297
7499,relax,1.53,7499
7702,relax,1.73,7702
7905,relax,1.63,7905
8108,relax,1.63,8108
8310,relax,1.73,8310
8513,relax,1.53,8513
8716,relax,1.44,8716
8919,relax,1.44,8919
9121,relax,1.44,9121
9324,relax,1.63,9324
9527,relax,1.63,9527
9730,relax,1.63,9730
9932,relax,1.44,9932
10135,relax,1.63,10135
10338,relax,1.44,10338
10541,relax,1.53,10541
10743,relax,1.63,10743
10946,relax,1.73,10946
11149,relax,1.73,11149
11352,relax,1.53,11352
11554,relax,1.44,11554
11757,relax,1.44,11757
11960,relax,1.44,11960
12163,relax,1.44,12163
12365,relax,1.63,12365
12568,relax,1.63,12568
12771,relax,1.53,12771
12974,relax,1.44,12974
13176,relax,1.34,13176
13379,relax,1.63,13379
13582,relax,1.44,13582
13785,relax,1.53,13785
13987,relax,2.22,13987
14190,relax,1.63,14190
14393,relax,1.44,14393
14596,relax,1.44,14596
14798,relax,1.34,14798
15001,relax,1.34,15001
15204,relax,1.53,15204
15407,relax,1.44,15407
15609,relax,1.44,15609
15812,relax,1.44,15812
16015,relax,1.34,16015
16218,relax,1.44,16218
16420,relax,1.34,16420
16623,relax,1.44,16623
16826,relax,1.34,16826
17029,relax,1.53,17029
17231,relax,1.53,17231
17434,relax,1.44,17434
17637,relax,1.24,17637
17840,relax,1.34,17840
18042,relax,1.44,18042
18245,relax,1.44,18245
18448,relax,1.53,18448
18651,relax,1.63,18651
18853,relax,1.44,18853
19056,relax,1.34,19056
19259,relax,1.24,19259
19462,relax,1.34,19462
19664,relax,1.34,19664
19867,relax,1.44,19867
20070,relax,1.53,20070
20273,relax,1.44,20273
20475,relax,1.34,20475
20678,relax,1.34,20678
20881,relax,1.05,20881
21084,relax,1.34,21084
21286,relax,1.44,21286
21489,relax,1.63,21489
21692,relax,1.44,21692
21895,relax,1.34,21895
22097,relax,1.24,22097
22301,relax,1.24,22301
22504,relax,1.24,22504
22707,relax,1.34,22707
22909,relax,1.44,22909
23112,relax,1.44,23112
23315,relax,1.44,23315
23518,relax,-1.0,23518
23720,relax,1.14,23720
23923,relax,1.24,23923
24126,relax,1.24,24126
24329,relax,1.53,24329
24531,relax,1.44,24531
24734,relax,1.53,24734
24937,relax,1.73,24937
25140,relax,1.24,25140
25342,relax,1.14,25342
25545,relax,1.24,25545
25748,relax,1.34,25748
25951,relax,1.34,25951
26153,relax,1.44,26153
26356,relax,1.34,26356
26559,relax,-1.0,26559
26762,relax,1.24,26762
26964,relax,1.24,26964
27167,relax,1.24,27167
27370,relax,1.44,27370
27573,relax,1.44,27573
27776,relax,1.44,27776
27978,relax,1.34,27978
28181,relax,1.24,28181
28384,relax,1.14,28384
28587,relax,1.24,28587
28789,relax,1.44,28789
28992,relax,1.44,28992
29195,relax,1.44,29195
29398,relax,1.53,29398
29600,relax,-1.0,29600
29803,relax,1.24,29803
30006,relax,1.24,30006
30209,relax,1.34,30209
30411,relax,1.34,30411
30614,relax,1.44,30614
30817,relax,1.44,30817
31020,relax,1.24,31020
31222,relax,1.24,31222
31425,relax,1.14,31425
31628,relax,1.24,31628
31831,relax,1.24,31831
32033,relax,1.44,32033
32236,relax,1.44,32236
32439,relax,1.34,32439
32642,relax,1.24,32642
32844,relax,1.24,32844
33047,relax,1.24,33047
33250,relax,-1.0,33250
33453,relax,1.24,33453
33655,relax,1.34,33655
33858,relax,1.44,33858
34061,relax,1.44,34061
34264,relax,1.34,34264
34466,relax,1.24,34466
34669,relax,1.24,34669
34872,relax,1.24,34872
35075,relax,1.44,35075
35277,relax,1.53,35277
35480,relax,1.34,35480
35683,relax,1.24,35683
35886,relax,1.34,35886
36088,relax,1.24,36088
36291,relax,1.44,36291
36494,relax,1.24,36494
36697,relax,1.63,36697
36899,relax,1.53,36899
37102,relax,1.44,37102
37305,relax,1.44,37305
37508,relax,1.34,37508
37710,relax,1.53,37710
37913,relax,1.53,37913
38116,relax,1.44,38116
38319,relax,1.63,38319
38521,relax,1.53,38521
38724,relax,1.24,38724
38927,relax,2.02,38927
39130,relax,1.34,39130
39332,relax,1.34,39332
39535,relax,1.53,39535
39738,relax,1.53,39738
39941,relax,1.63,39941
40143,relax,1.53,40143
40347,relax,1.53,40347
40550,relax,1.24,40550
40753,relax,1.34,40753
40955,relax,1.83,40955
41158,relax,1.53,41158
41361,relax,1.63,41361
41564,relax,1.53,41564
41766,relax,1.44,41766
41969,relax,1.53,41969
42172,relax,1.34,42172
42375,relax,1.44,42375
42577,relax,1.53,42577
42780,relax,1.53,42780
42983,relax,1.44,42983
43186,relax,1.44,43186
43388,relax,1.34,43388
43591,relax,1.24,43591
43794,relax,1.34,43794
43997,relax,2.02,43997
44199,relax,1.53,44199
44402,relax,1.53,44402
44605,relax,1.44,44605
44808,relax,-1.0,44808
45010,relax,1.24,45010
45213,relax,1.34,45213
45416,relax,1.83,45416
45619,relax,1.44,45619
45821,relax,1.24,45821
46024,relax,1.53,46024
46227,relax,1.53,46227
46430,relax,1.34,46430
46632,relax,1.34,46632
46835,relax,1.34,46835
47038,relax,1.44,47038
47241,relax,1.53,47241
47443,relax,1.63,47443
47646,relax,1.44,47646
47849,relax,1.34,47849
48052,relax,1.34,48052
48254,relax,1.34,48254
48457,relax,1.44,48457
48660,relax,1.53,48660
48863,relax,1.53,48863
49065,relax,1.53,49065
49268,relax,1.34,49268
49471,relax,1.44,49471
49674,relax,1.34,49674
49876,relax,1.34,49876
50079,relax,1.44,50079
50282,relax,1.53,50282
50485,relax,2.12,50485
50688,relax,1.34,50688
50890,relax,1.34,50890
51093,relax,1.34,51093
51296,relax,1.44,51296
51499,relax,1.53,51499
51701,relax,1.73,51701
51904,relax,1.73,51904
52107,relax,1.83,52107
52310,relax,1.44,52310
52512,relax,1.53,52512
52715,relax,1.44,52715
52918,relax,1.53,52918
53121,relax,1.63,53121
53323,relax,1.63,53323
53526,relax,1.73,53526
53729,relax,1.53,53729
53932,relax,1.53,53932
54134,relax,1.44,54134
54337,relax,1.83,54337
54540,relax,1.53,54540
54743,relax,1.63,54743
54945,relax,1.73,54945
55148,relax,1.53,55148
55351,relax,1.44,55351
55554,relax,1.44,55554
55756,relax,1.53,55756
55959,relax,1.53,55959
56162,relax,1.53,56162
56365,relax,1.63,56365
56567,relax,1.63,56567
56770,relax,1.44,56770
56973,relax,1.24,56973
57176,relax,1.14,57176
57378,relax,1.24,57378
57581,relax,1.53,57581
57784,relax,1.53,57784
57987,relax,1.63,57987
58189,relax,1.73,58189
58392,relax,1.34,58392
58595,relax,1.34,58595
58799,relax,1.34,58799
59001,relax,1.53,59001
59204,relax,1.63,59204
59407,relax,1.73,59407
59610,relax,1.53,59610
59812,relax,1.34,59812
60015,relax,1.63,60015
60218,relax,1.34,60218
60421,relax,1.34,60421
60623,relax,1.53,60623
60826,relax,1.53,60826
61029,relax,1.53,61029
61232,relax,1.53,61232
61434,relax,1.34,61434
61637,relax,1.34,61637
61840,relax,1.34,61840
62043,relax,1.44,62043
62245,relax,1.53,62245
62448,relax,1.73,62448
62651,relax,1.53,62651
62854,relax,1.44,62854
63056,relax,1.34,63056
63259,relax,1.34,63259
63462,relax,1.44,63462
63665,relax,1.53,63665
63867,relax,1.63,63867
64070,relax,1.53,64070
64273,relax,1.53,64273
64476,relax,1.34,64476
64678,relax,1.24,64678
