session_timestamp_ms,phase,gsr,ecg_raw
0,relax,1.44,2.072
2,relax,,1.872
5,relax,,1.593
7,relax,,1.325
10,relax,,1.256
12,relax,,1.554
15,relax,,1.989
18,relax,,2.239
20,relax,,2.185
23,relax,,1.916
25,relax,,1.588
28,relax,,1.413
31,relax,,1.569
33,relax,,2.009
36,relax,,2.366
38,relax,,2.429
41,relax,,2.224
45,relax,,1.877
47,relax,,1.579
50,relax,,1.54
52,relax,,1.828
55,relax,,2.268
58,relax,,2.493
60,relax,,2.414
63,relax,,2.121
65,relax,,1.779
68,relax,,1.579
71,relax,,1.711
73,relax,,2.102
76,relax,,2.468
78,relax,,2.542
81,relax,,2.336
84,relax,,1.994
87,relax,,1.706
90,relax,,1.657
92,relax,,1.94
95,relax,,2.356
98,relax,,2.576
100,relax,,2.483
103,relax,,2.18
105,relax,,1.823
108,relax,,1.618
111,relax,,1.755
113,relax,,2.155
116,relax,,2.498
119,relax,,2.542
121,relax,,2.302
124,relax,,1.94
128,relax,,1.632
130,relax,,1.608
133,relax,,1.911
135,relax,,2.307
138,relax,,2.458
141,relax,,2.302
143,relax,,1.97
146,relax,,1.632
149,relax,,1.5
151,relax,,1.74
154,relax,,2.151
157,relax,,2.429
159,relax,,2.385
162,relax,,2.087
165,relax,,1.711
167,relax,,1.457
171,relax,,1.525
173,relax,,1.872
176,relax,,2.243
179,relax,,2.346
181,relax,,2.165
184,relax,,1.833
187,relax,,1.564
189,relax,,1.491
192,relax,,1.774
195,relax,,2.195
197,relax,,2.395
200,relax,,2.278
202,relax,1.44,
203,relax,,1.96
205,relax,,1.598
208,relax,,1.403
210,relax,,1.549
214,relax,,1.945
217,relax,,2.283
219,relax,,2.322
222,relax,,2.116
225,relax,,1.735
227,relax,,1.471
230,relax,,1.486
233,relax,,1.818
235,relax,,2.219
238,relax,,2.366
241,relax,,2.204
243,relax,,1.882
246,relax,,1.549
248,relax,,1.442
251,relax,,1.662
254,relax,,2.087
257,relax,,2.366
260,relax,,2.322
263,relax,,2.043
265,relax,,1.691
268,relax,,1.461
271,relax,,1.564
273,relax,,1.975
276,relax,,2.331
279,relax,,2.41
281,relax,,2.19
284,relax,,1.838
286,relax,,1.535
289,relax,,1.496
292,relax,,1.789
294,relax,,2.204
297,relax,,2.395
301,relax,,2.268
303,relax,,1.945
306,relax,,1.632
309,relax,,1.432
311,relax,,1.603
314,relax,,2.009
316,relax,,2.317
319,relax,,2.326
322,relax,,2.077
324,relax,,1.73
327,relax,,1.481
330,relax,,1.525
332,relax,,1.882
335,relax,,2.287
338,relax,,2.419
340,relax,,2.248
344,relax,,1.906
347,relax,,1.579
349,relax,,1.481
352,relax,,1.725
354,relax,,2.136
357,relax,,2.38
360,relax,,2.312
362,relax,,2.019
365,relax,,1.696
368,relax,,1.447
370,relax,,1.564
373,relax,,1.955
376,relax,,2.307
378,relax,,2.375
381,relax,,2.16
385,relax,,1.813
387,relax,,1.549
390,relax,,1.51
392,relax,,1.818
395,relax,,2.214
398,relax,,2.37
400,relax,,2.234
403,relax,,1.906
404,relax,1.44,
406,relax,,1.559
408,relax,,1.417
411,relax,,1.628
414,relax,,2.058
416,relax,,2.366
419,relax,,2.366
422,relax,,2.107
424,relax,,1.76
428,relax,,1.5
430,relax,,1.559
433,relax,,1.931
436,relax,,2.312
438,relax,,2.414
441,relax,,2.224
444,relax,,1.877
446,relax,,1.559
449,relax,,1.481
452,relax,,1.735
454,relax,,2.151
457,relax,,2.38
460,relax,,2.307
462,relax,,1.979
465,relax,,1.623
467,relax,,1.437
471,relax,,1.496
474,relax,,1.789
476,relax,,1.984
479,relax,,1.887
482,relax,,1.564
484,relax,,1.188
487,relax,,0.934
490,relax,,0.973
492,relax,,1.359
495,relax,,1.862
497,relax,,2.17
500,relax,,2.175
503,relax,,1.975
505,relax,,1.779
508,relax,,1.804
512,relax,,2.195
514,relax,,2.688
517,relax,,2.869
520,relax,,2.737
522,relax,,2.361
525,relax,,1.906
528,relax,,1.598
530,relax,,1.608
533,relax,,1.906
535,relax,,2.229
538,relax,,2.273
541,relax,,2.058
543,relax,,1.706
546,relax,,1.403
549,relax,,1.334
551,relax,,1.598
555,relax,,2.014
558,relax,,2.234
560,relax,,2.146
563,relax,,1.838
566,relax,,1.486
568,relax,,1.3
571,relax,,1.457
573,relax,,1.867
576,relax,,2.209
579,relax,,2.239
581,relax,,2.004
584,relax,,1.628
587,relax,,1.349
589,relax,,1.364
592,relax,,1.706
595,relax,,2.111
598,relax,,2.234
601,relax,,2.067
604,relax,,1.73
606,relax,,1.413
607,relax,1.24,
609,relax,,1.32
611,relax,,1.554
614,relax,,1.96
617,relax,,2.199
619,relax,,2.146
622,relax,,1.867
625,relax,,1.515
627,relax,,1.305
630,relax,,1.408
633,relax,,1.779
635,relax,,2.136
638,relax,,2.214
642,relax,,2.004
644,relax,,1.667
647,relax,,1.373
649,relax,,1.325
652,relax,,1.593
655,relax,,1.979
657,relax,,2.146
660,relax,,2.009
663,relax,,1.696
665,relax,,1.354
668,relax,,1.212
671,relax,,1.398
673,relax,,1.808
676,relax,,2.102
678,relax,,2.102
681,relax,,1.848
685,relax,,1.496
687,relax,,1.251
690,relax,,1.31
693,relax,,1.676
695,relax,,2.072
698,relax,,2.199
701,relax,,2.023
703,relax,,1.691
706,relax,,1.378
709,relax,,1.29
711,relax,,1.549
714,relax,,1.97
716,relax,,2.199
719,relax,,2.131
722,relax,,1.843
724,relax,,1.496
728,relax,,1.31
731,relax,,1.466
733,relax,,1.891
736,relax,,2.268
739,relax,,2.341
741,relax,,2.116
744,relax,,1.76
747,relax,,1.481
749,relax,,1.491
752,relax,,1.838
754,relax,,2.287
757,relax,,2.488
760,relax,,2.366
762,relax,,2.048
765,relax,,1.716
769,relax,,1.579
771,relax,,1.818
774,relax,,2.243
777,relax,,2.507
779,relax,,2.478
782,relax,,2.209
785,relax,,1.843
787,relax,,1.623
790,relax,,1.72
792,relax,,2.116
795,relax,,2.483
798,relax,,2.581
800,relax,,2.326
803,relax,,1.97
806,relax,,1.657
808,relax,,1.608
809,relax,1.24,
812,relax,,1.896
815,relax,,2.326
